Belgium	13.7	10.6	10.6	11.1	11.2	9.8	9.2	10.2	9.0	8.5	8.7	8.3
Iran, Islamic Rep.	3.1	3.4	3.7	4.5	5.6	7.4	7.5	7.7	7.8	8.0	8.0	8.3
Malaysia	2.0	2.3	3.1	5.9	5.4	7.5	7.2	7.8	7.7	7.5	8.0	8.0
Israel	5.5	5.9	7.8	9.2	9.6	9.3	8.6	9.0	8.9	9.5	8.3	7.9
New Zealand	5.6	6.7	7.1	7.4	8.5	8.0	7.5	7.3	7.2	7.7	7.5	7.7
China	1.5	1.9	2.2	2.8	2.7	5.7	6.0	6.6	7.2	7.4	7.6	7.5
Poland	13.1	12.0	9.7	8.9	7.8	8.3	7.8	8.3	8.3	7.9	7.9	7.5
Ireland	7.7	7.6	8.9	9.1	10.8	9.6	8.9	8.8	7.8	7.7	7.5	7.3
Mongolia	4.1	4.7	4.6	3.4	3.1	4.6	4.9	5.1	7.8	9.3	13.5	7.1
Austria	6.9	7.2	7.5	7.5	7.8	8.3	7.5	8.1	7.7	7.4	7.4	6.9
Belarus	..	..	..	6.0	5.4	6.6	6.4	6.6	6.8	6.7	6.7	6.7
United Kingdom	10.3	9.9	9.7	9.3	9.2	8.4	7.6	7.9	7.1	7.4	7.1	6.5
Hong Kong SAR, China	3.3	4.2	4.8	5.1	6.1	6.3	6.0	5.8	6.2	6.1	6.3	6.4
Bahamas, The	37.9	6.4	7.6	6.0	5.6	4.3	4.6	4.6	5.1	5.3	7.4	6.3
Bosnia and Herzegovina	..	..	..	0.9	3.7	5.4	5.5	5.7	6.5	6.1	6.1	6.2
Greece	5.3	6.1	7.3	7.5	8.5	8.7	8.3	7.5	7.2	7.2	6.3	6.2
Slovenia	..	..	..	7.2	7.2	8.6	7.5	7.5	7.4	7.2	6.9	6.2
British Virgin Islands	2.7	3.6	4.0	4.6	5.0	6.3	6.2	6.3	6.3	6.2	6.1	6.1
Iceland	8.2	6.7	7.8	7.3	7.7	6.7	6.4	6.2	5.9	5.6	5.9	6.1
Turks and Caicos Islands	..	..	2.5	3.1	3.7	6.1	5.9	6.2	6.0	6.1	6.0	6.1
Venezuela, RB	5.9	5.8	6.2	6.0	6.2	6.4	6.3	6.5	6.0	6.6	6.1	6.0
Bulgaria	8.7	10.0	8.5	6.9	5.3	6.8	5.7	6.0	6.7	6.1	5.5	5.9
Denmark	11.8	11.7	9.8	10.9	9.6	8.5	8.1	8.4	7.3	6.5	6.9	5.9
Andorra	..	..	7.5	6.7	8.0	6.4	6.1	6.1	5.9	5.9	5.9	5.8
Slovak Republic	..	..	..	7.9	6.7	7.0	6.3	6.7	6.4	6.1	6.1	5.7
Antigua and Barbuda	1.9	3.6	4.2	3.7	4.1	5.2	5.4	5.5	5.4	5.4	5.4	5.4
Malta	3.2	3.6	6.1	5.6	5.3	6.3	5.8	6.2	6.1	6.4	5.5	5.4
Seychelles	1.5	2.3	2.2	2.6	7.1	8.0	6.0	4.9	3.9	5.0	4.5	5.4
Cyprus	4.7	4.4	5.7	6.3	7.3	7.9	7.4	6.9	6.6	6.1	5.2	5.3
Italy	6.9	6.6	7.4	7.6	7.9	7.6	6.8	6.8	6.7	6.2	5.7	5.3
Serbia	..	..	..	..	..	7.1	6.3	6.3	6.8	6.1	6.3	5.3
Spain	5.7	5.2	5.6	6.1	7.3	7.2	6.2	5.8	5.8	5.7	5.1	5.0
Ukraine	..	..	..	8.7	6.5	6.7	5.6	6.6	6.3	6.5	6.0	5.0
Iraq	3.3	2.9	2.7	3.7	3.1	3.2	3.5	3.6	4.2	4.7	4.9	4.8
Argentina	3.9	3.3	3.4	3.7	3.8	4.7	4.4	4.6	4.6	4.6	4.5	4.7
Chile	2.2	1.8	2.5	2.9	3.9	4.3	4.0	4.3	4.6	4.7	4.8	4.7
Equatorial Guinea	0.2	0.2	0.2	0.3	0.7	5.2	5.1	4.9	6.2	4.9	4.8	4.7
France	9.1	7.1	6.4	5.9	5.9	5.7	5.4	5.4	5.1	5.1	5.1	4.6
Thailand	0.8	0.9	1.6	2.7	2.9	3.8	4.0	4.2	4.1	4.4	4.4	4.6
Barbados	2.7	3.3	4.1	3.1	4.4	5.8	5.8	5.3	5.4	5.2	5.1	4.5
Sweden	8.6	7.5	6.1	6.2	5.6	5.3	4.6	5.5	5.5	4.9	4.7	4.5
Turkey	1.7	2.2	2.7	2.9	3.4	4.0	3.9	4.1	4.4	4.4	4.3	4.5
Lithuania	..	..	..	4.5	3.5	4.7	4.0	4.3	4.6	4.6	4.3	4.4
Hungary	8.1	8.1	6.7	5.8	5.5	5.5	4.8	5.0	4.8	4.5	4.3	4.3
Lebanon	2.4	3.0	3.0	4.5	4.7	4.2	5.0	4.6	4.5	4.6	4.3	4.3
Portugal	2.8	2.7	4.2	5.2	6.1	5.3	5.1	4.6	4.5	4.4	4.3	4.3
St. Kitts and Nevis	1.2	1.2	2.6	3.0	3.8	4.3	4.4	4.3	4.4	4.2	4.2	4.3
Switzerland	6.4	6.2	6.3	5.6	5.4	5.3	5.4	5.0	4.7	4.7	5.0	4.3
Croatia	..	..	..	3.6	4.4	5.1	4.8	4.6	4.6	4.2	4.1	4.0
Nauru	16.7	15.3	13.6	10.7	8.4	4.4	4.1	4.4	4.0	3.9	4.1	4.0
Azerbaijan	..	..	..	4.3	3.7	4.1	3.6	3.4	3.6	3.8	3.8	3.9
Mexico	3.9	3.7	3.7	3.5	3.9	4.3	4.1	4.0	4.1	4.1	4.0	3.9
Algeria	3.4	3.2	3.0	3.3	2.8	3.2	3.4	3.3	3.3	3.5	3.5	3.7
Macedonia, FYR	..	..	..	5.5	5.9	4.5	4.2	4.2	4.5	4.3	3.8	3.6
Montenegro	..	..	..	..	..	4.5	3.0	4.2	4.1	3.8	3.6	3.6
Suriname	6.5	4.3	4.3	4.7	4.6	3.8	3.8	4.6	3.7	4.2	3.5	3.6
Latvia	..	..	..	3.8	2.7	3.6	3.4	3.8	3.5	3.5	3.5	3.5
Romania	8.8	8.5	7.5	5.6	4.0	4.7	4.0	3.9	4.2	4.1	3.6	3.5
Mauritius	0.6	0.7	1.4	1.6	2.3	3.0	3.0	3.1	3.1	3.2	3.2	3.4
Uzbekistan	..	..	..	4.5	4.9	4.5	3.9	3.6	3.9	3.9	3.4	3.4
Maldives	0.3	0.3	0.8	1.0	1.6	2.4	2.5	2.6	2.6	2.9	2.7	3.3
Botswana	1.0	1.0	2.0	1.9	2.2	2.3	1.9	2.3	2.0	2.0	2.5	3.2
Cuba	3.2	3.2	3.2	2.4	2.3	2.7	2.6	3.4	3.2	3.2	3.0	3.0
Jordan	2.0	2.9	2.9	3.0	3.0	3.3	3.2	2.9	2.9	3.1	2.9	3.0
French Polynesia	1.9	3.3	2.2	2.0	2.4	3.2	3.2	3.2	3.1	3.0	3.0	2.9
Ecuador	1.7	2.1	1.6	2.0	1.6	2.3	2.5	2.4	2.5	2.5	2.6	2.8
Gabon	9.1	7.6	4.7	4.3	3.8	2.7	2.7	2.9	2.9	2.9	2.9	2.8
Brazil	1.5	1.3	1.4	1.6	1.9	2.0	1.9	2.1	2.2	2.3	2.5	2.6
Guyana	2.3	1.8	1.5	1.9	2.1	2.1	2.1	2.3	2.4	2.6	2.6	2.6
Jamaica	3.9	2.2	3.1	3.6	3.9	3.7	2.8	2.6	2.8	2.6	2.8	2.6
Tunisia	1.5	1.6	1.6	1.7	2.1	2.4	2.4	2.6	2.4	2.5	2.5	2.6
Georgia	..	..	..	0.5	1.0	1.3	1.6	1.6	2.1	2.2	2.1	2.4
Grenada	0.5	0.6	1.1	1.5	1.9	2.4	2.4	2.5	2.4	2.6	2.9	2.3
Panama	1.6	1.2	1.1	1.1	1.9	2.1	2.4	2.5	2.7	2.7	2.8	2.3
St. Lucia	1.0	1.0	1.2	2.1	2.1	2.3	2.3	2.3	2.3	2.3	2.3	2.3
Egypt, Arab Rep.	1.0	1.3	1.3	1.5	2.0	2.5	2.5	2.4	2.5	2.5	2.4	2.2
Macao SAR, China	2.2	2.6	3.0	3.2	3.8	2.6	3.9	2.6	2.6	2.3	2.1	2.2
Dominican Republic	1.1	1.1	1.3	2.0	2.3	2.1	2.1	2.1	2.1	2.2	2.1	2.1
Albania	1.9	2.7	1.7	0.7	1.0	1.5	1.5	1.6	1.8	1.7	1.7	2.0
Peru	1.4	1.0	1.0	1.0	1.2	1.4	1.8	2.0	1.7	1.8	1.9	2.0
Uruguay	2.0	1.1	1.3	1.4	1.6	2.5	2.4	1.9	2.3	2.6	2.2	2.0
Armenia	..	..	..	1.1	1.1	1.9	1.5	1.5	1.7	2.0	1.9	1.9
Bolivia	0.8	0.7	0.8	1.3	1.3	1.4	1.4	1.5	1.6	1.8	1.8	1.9
Dominica	0.5	0.6	0.8	1.1	1.5	1.9	1.9	2.0	1.8	1.9	1.8	1.9
Marshall Islands	..	..	1.0	1.3	1.5	1.9	2.0	2.0	2.0	1.9	1.9	1.9
St. Vincent and the Grenadines	0.4	0.6	0.8	1.2	1.4	2.1	2.9	2.0	1.8	2.3	1.9	1.9
Colombia	1.6	1.6	1.7	1.6	1.4	1.5	1.6	1.7	1.6	1.7	1.9	1.8
Indonesia	0.6	0.7	0.8	1.1	1.2	1.8	1.9	1.8	2.5	2.6	1.9	1.8
Vietnam	0.3	0.3	0.3	0.4	0.7	1.4	1.5	1.6	1.7	1.6	1.6	1.8
India	0.5	0.5	0.7	0.8	1.0	1.3	1.4	1.4	1.5	1.6	1.6	1.7
Morocco	0.8	0.8	0.9	1.1	1.2	1.7	1.6	1.7	1.8	1.9	1.7	1.7
Costa Rica	1.0	0.8	1.0	1.4	1.4	1.8	1.8	1.7	1.7	1.7	1.6	1.6
Korea, Dem. People's Rep.	..	..	..	..	3.0	2.9	2.9	2.7	1.9	2.0	1.4	1.6
Kyrgyz Republic	..	..	..	1.0	0.9	1.4	1.3	1.2	1.4	1.8	1.7	1.6
Namibia	..	..	0.0	1.0	0.9	1.6	1.4	1.4	1.3	1.5	1.1	1.6
Syrian Arab Republic	2.3	2.8	3.0	2.9	3.1	3.3	3.0	2.9	2.7	2.2	1.8	1.6
Belize	1.3	1.2	1.7	1.8	1.6	1.4	1.9	1.7	1.8	1.4	1.5	1.4
Micronesia, Fed. Sts.	..	..	..	1.0	1.2	1.1	1.6	1.1	1.2	1.3	1.4	1.4
Moldova	..	..	..	3.0	1.0	1.3	1.3	1.4	1.4	1.4	1.4	1.4
Angola	0.6	0.4	0.4	0.8	0.6	1.2	1.2	1.2	1.3	1.3	1.3	1.3
Bhutan	0.1	0.1	0.2	0.5	0.7	0.6	0.5	0.7	1.0	1.1	1.2	1.3
Fiji	1.3	0.8	1.1	1.0	1.0	1.1	0.9	1.4	1.3	1.2	1.3	1.3
Guatemala	0.6	0.4	0.5	0.7	0.9	0.8	0.8	0.8	0.8	0.8	0.9	1.2
Lesotho	..	..	0.9	1.0	1.0	1.1	1.1	1.1	1.1	1.2	1.1	1.2
Liechtenstein	..	..	..	..	..	1.8	1.4	1.5	1.3	1.3	1.4	1.2
Honduras	0.6	0.4	0.5	0.7	0.8	1.1	1.0	1.0	1.1	1.1	1.0	1.1
Philippines	0.8	0.5	0.7	0.9	0.9	0.9	0.8	0.9	0.9	0.9	1.0	1.1
Tonga	0.4	0.5	0.8	1.0	1.0	1.2	1.3	1.1	1.0	1.0	1.1	1.1
El Salvador	0.5	0.4	0.5	0.9	1.0	1.1	1.0	1.0	1.1	1.1	1.0	1.0
Samoa	0.6	0.7	0.6	0.7	0.8	1.0	1.0	1.0	1.1	1.0	1.0	1.0
Tuvalu	..	..	0.8	0.8	0.8	1.1	1.1	0.7	0.7	1.0	1.0	1.0
Cabo Verde	0.4	0.3	0.3	0.3	0.5	1.0	1.1	1.1	1.2	1.0	1.0	0.9
Eswatini	0.8	0.6	0.5	0.5	1.1	0.9	0.9	0.9	0.9	1.0	0.9	0.9
Pakistan	0.4	0.5	0.6	0.7	0.8	1.0	1.0	0.9	0.9	0.9	0.9	0.9
Paraguay	0.5	0.4	0.5	0.8	0.7	0.7	0.7	0.8	0.8	0.8	0.8	0.9
Sri Lanka	0.2	0.2	0.2	0.3	0.5	0.6	0.7	0.7	0.7	0.8	0.8	0.9
Yemen, Rep.	0.4	0.9	0.8	0.7	0.8	1.0	1.1	1.0	0.8	0.7	1.0	0.9
Djibouti	1.0	0.8	0.5	0.5	0.5	0.6	0.6	0.6	0.5	0.6	0.7	0.8
Nicaragua	0.6	0.5	0.6	0.6	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.8
Papua New Guinea	0.6	0.6	0.5	0.4	0.5	0.7	0.7	0.7	0.7	0.7	0.8	0.8
Zimbabwe	1.3	1.2	1.5	1.3	1.1	0.6	0.4	0.6	0.7	0.5	0.8	0.8
Mauritania	0.4	0.4	0.4	0.5	0.4	0.6	0.6	0.6	0.6	0.7	0.7	0.7
Benin	0.1	0.2	0.1	0.2	0.2	0.5	0.5	0.6	0.6	0.6	0.6	0.6
Congo, Rep.	0.2	0.6	0.5	0.6	0.3	0.3	0.4	0.5	0.5	0.6	0.6	0.6
Kiribati	0.5	0.3	0.3	0.4	0.3	0.6	0.4	0.6	0.6	0.6	0.6	0.6
Sao Tome and Principe	0.4	0.5	0.4	0.4	0.3	0.5	0.5	0.6	0.6	0.6	0.6	0.6
Senegal	0.6	0.4	0.4	0.4	0.4	0.4	0.4	0.6	0.6	0.6	0.6	0.6
Tajikistan	..	..	..	0.4	0.4	0.4	0.3	0.3	0.3	0.4	0.4	0.6
Vanuatu	0.5	0.9	0.5	0.4	0.5	0.4	0.5	0.5	0.5	0.5	0.4	0.6
Bangladesh	0.1	0.1	0.1	0.2	0.2	0.3	0.4	0.4	0.4	0.4	0.4	0.5
Cote d'Ivoire	0.8	0.7	0.4	0.5	0.4	0.3	0.3	0.3	0.3	0.4	0.5	0.5
Ghana	0.2	0.3	0.3	0.3	0.3	0.4	0.3	0.4	0.4	0.5	0.6	0.5
Nigeria	0.9	0.8	0.4	0.3	0.6	0.6	0.5	0.6	0.6	0.6	0.6	0.5
Cambodia	0.0	0.1	0.1	0.1	0.2	0.3	0.3	0.4	0.4	0.4	0.4	0.4
Myanmar	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.4
Solomon Islands	0.4	0.6	0.5	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
Timor-Leste	..	..	..	..	..	0.2	0.2	0.2	0.2	0.3	0.4	0.4
Togo	0.3	0.2	0.2	0.2	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.4
Afghanistan	0.1	0.3	0.2	0.1	0.0	0.2	0.2	0.3	0.4	0.4	0.3	0.3
Cameroon	0.5	0.6	0.1	0.3	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Gambia, The	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.2	0.3
Haiti	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3
Kenya	0.4	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Lao PDR	0.1	0.1	0.0	0.1	0.2	0.2	0.2	0.3	0.3	0.3	0.2	0.3
Mozambique	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.3
Nepal	0.0	0.0	0.0	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.3
Zambia	0.6	0.4	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3
Burkina Faso	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2
Comoros	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
Guinea	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.2
Guinea-Bissau	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2
Liberia	1.1	0.3	0.2	0.2	0.1	0.2	0.1	0.2	0.2	0.2	0.2	0.2
Sierra Leone	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2
Tanzania	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2
Central African Republic	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Chad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
Congo, Dem. Rep.	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
Ethiopia	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Madagascar	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Malawi	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Mali	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Niger	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Rwanda	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
South Sudan	..	..	..	..	..	..	..	..	..	0.1	0.1	0.1
Uganda	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Burundi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Somalia	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0
